Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Доценко,Емілія,Вікторівна,Жіноча,19.04.1954,Хімік,селище Керч,"провулок Дунайська, буд. 6 кв. 871, Суми, 93541",073 533 37 96,ihohol@example.org
Лавренко,Клавдія,Володимирівна,Жіноча,29.06.1941,Економіст,хутір Костопіль,"проспект Академіка Вільямса, буд. 0, Запоріжжя, 49726",010 781-87-88,stepankarpenko@example.com
Гавришкевич,Мілена,Олександрівна,Жіноча,17.03.1993,Кінорежисер,місто Шепетівка,"проспект Лідерсівський, буд. 3 кв. 5, Березань , 62886",577 79 57,lbabak@example.net
Свистун,Андрій,Михайлович,Чоловіча,09.03.1992,Електромонтер,село Богуслав,"вулиця Цегельнозаводська, буд. 199, Баштанка, 99683",874 73 72,shapovalmaksym@example.org
Даценко,Єлисей,Михайлович,Чоловіча,01.07.1980,Няня,хутір Малин,"узвіз Каркашадзе, буд. 895, Міусинськ, 88456",+380 17 253 03 03,hanna03@example.net
Ващенко-Захарченко,Еріка,Василівна,Жіноча,16.05.1976,Адвокат,хутір Щолкіне,"парк Ромашкова, буд. 492, Переяслав, 15073",016 252 80 81,dzyndrafeofan@example.org
Зінчук,Азар,Миколайович,Чоловіча,20.10.1968,Адвокат,село Монастирище,"набережна Цегельнозаводська, буд. 770, Бориспіль, 38364",085 962 15 68,olifirenkoheorhii@example.net
Даньків,Микита,Вікторович,Чоловіча,19.01.1989,Кінокритик,село Тиврів,"набережна Косяченка Олексія, буд. 281 кв. 3, Чистякове, 69876",+380 86 760-03-18,vermenychroman@example.org
Смик,Спас,Михайлович,Чоловіча,12.11.1982,Фольклорист,село Лисичанськ,"провулок Аполона Скальковського, буд. 8, Івано-Франківськ, 64370",+380 80 425 80 90,tymchenkodavyd@example.com
Уманець,Леонтій,Михайлович,Чоловіча,02.05.2005,Гінеколог,місто Сквира,"сквер Восьмого березня 2-й, буд. 879 кв. 709, Березань , 86976",+380 56 954-60-86,havrylo85@example.net
Деревʼянко,Леопольд,Сергійович,Чоловіча,02.01.1974,Фотограф,хутір Винники,"сквер Черешнева, буд. 845 кв. 97, Білопілля, 88910",366-92-72,klymentskopenko@example.org
Безбородько,Марʼяна,Михайлівна,Жіноча,09.01.1939,Геолог,селище Ровеньки,"набережна Лінія 26-та, буд. 5 кв. 68, Джанкой, 67935",627-72-79,serhiivasylashko@example.net
Вітер,Геннадій,Володимирович,Чоловіча,07.08.1965,Археолог,хутір Нетішин,"набережна Олександра Кутузакія, буд. 8, Привілля, 35806",+380 92 110 57 50,opanas70@example.net
Сомко,Демʼян,Іванович,Чоловіча,04.12.1998,Професор,село Гірське,"узвіз Маразліївська, буд. 341 кв. 42, Соснівка , 40712",092 580-57-38,velychkomakar@example.net
Салій,Галина,Василівна,Жіноча,20.11.1941,Дерун,селище Долина ,"набережна Мала, буд. 9, Родинське, 71410",047 176 92 94,iaroslava14@example.com
Свистун,Мартин,Вікторович,Чоловіча,02.09.2005,Бібліотекар,селище Голубівка,"площа Колонтаївська, буд. 7, Біла Церква, 75110",+380 23 505 94 19,olha16@example.com
Чумаченко,Ольга,Сергіївна,Жіноча,16.11.1946,Електромонтер,місто Чуднів,"вулиця Новобазарний, буд. 8 кв. 0, Винники, 71567",+380 20 574-61-67,shukhevychvalentyn@example.com
Дробʼязко,Алла,Миколаївна,Жіноча,09.03.2007,Фольклорист,селище Глиняни,"парк Восьмого березня узвіз, буд. 707, Житомир, 55496",667-91-67,boryslav76@example.net
Чарниш,Лариса,Михайлівна,Жіноча,31.01.1996,Письменник,місто Бахмач,"площа Килимовий, буд. 32 кв. 448, Малин, 52747",090 581-79-87,ivan67@example.org
Андрощук,Захар,Іванович,Чоловіча,01.10.1998,Електротехнік,місто Яворів,"вулиця Старорізнична, буд. 857, Ворожба, 43872",+380 25 761-79-79,adanehoda@example.com
Вакарчук,Мирослав,Сергійович,Чоловіча,01.07.1962,Архітектор,місто Чигирин,"парк Траса Здоров'я, буд. 064 кв. 14, Волочиськ, 67353",+380 74 542-75-20,ustymstus@example.com
Александренко,Орест,Вікторович,Чоловіча,23.02.1977,Ботанік,хутір Дніпрорудне,"провулок Морехідна, буд. 9, Кипуче, 76770",013 731 51 16,fkorpaniuk@example.net
Іваничук,Марина,Михайлівна,Жіноча,01.05.1995,Стиліст,селище Баранівка,"проспект Олександрівський, буд. 694, Богодухів, 56642",+380 (02) 251-28-04,iefymenkosviatoslav@example.org
Бабʼюк,Надія,Миколаївна,Жіноча,13.08.1998,Водій,село Первомайськ,"проспект Танкістів, буд. 01, Старокостянтинів, 37435",+380 09 794 86 38,sbandera@example.com
Акуленко,Пармен,Іванович,Чоловіча,24.01.1951,Географ,село Почаїв,"вулиця Заньковецької, буд. 26 кв. 68, Новоград-Волинський, 36276",+380 05 619 74 28,zynoviiiesypenko@example.net
Панчук,Панас,Іванович,Чоловіча,09.08.1985,Публіцист,село Рава-Руська,"вулиця Сирітський, буд. 9 кв. 781, Жовті Води, 28620",+380 (81) 771-00-69,lukian35@example.net
Андрійчук,Валентин,Володимирович,Чоловіча,19.05.1939,Євнух,хутір Радомишль,"шосе Італійський, буд. 46, Буськ, 37601",+380 (08) 397-40-44,snizhanavakulenko@example.net
Ватаманюк,Антон,Володимирович,Чоловіча,12.08.1978,Гірничий інженер,селище Херсон,"парк Деревообробний 4-й, буд. 386, Тальне, 96699",717 95 07,mykolaiiemets@example.net
Єсипенко,Гаврило,Сергійович,Чоловіча,30.08.1955,Єгер,село Чугуїв,"шосе Пересипський 2-й, буд. 278, Стрий, 04511",199 41 38,avrelii60@example.net
Семенченко,Василь,Васильович,Чоловіча,25.05.1980,Каскадер,селище Єнакієве,"проспект Сливова, буд. 5 кв. 4, Верхівцеве, 13540",+380 63 884-30-31,tarasverkhovynets@example.org
Шеремет,Святослава,Миколаївна,Жіноча,16.10.1992,Диригент,хутір Васильків,"площа Святослава Ріхтера, буд. 130 кв. 345, Новомиргород, 13438",052 798 00 96,snizhana21@example.com
Фаренюк,Дарина,Вікторівна,Жіноча,07.06.1943,Етнограф,село Кіцмань,"парк Академіка Богатського, буд. 027, Умань, 52365",600-31-78,pbakumenko@example.net
Тригуб,Августин,Олександрович,Чоловіча,05.04.1956,Правник,селище Севастополь,"проспект Залізничний 3-й, буд. 69 кв. 8, Червоноград, 69046",318 26 34,frankoillia@example.com
Акуленко,Демид,Вікторович,Чоловіча,14.11.1953,Музикант,хутір Суходільськ,"сквер Пішонівська, буд. 85 кв. 5, Заліщики, 37963",074 148 14 95,redkoartem@example.com
Сацюк,Василина,Олександрівна,Жіноча,03.12.1986,Гірник,хутір Трускавець,"провулок Мечникова, буд. 7, Бунге , 85834",+380 99 703 58 10,okhrimkonoplenko@example.net
Короленко,Василина,Вікторівна,Жіноча,19.04.1982,Палеонтолог,село Чугуїв,"вулиця Пантелеймонівська, буд. 9 кв. 926, Тячів, 97410",861-06-24,petrykpylyp@example.com
Демиденко,Климент,Михайлович,Чоловіча,08.08.1978,Математик,село Курахове,"проспект Туристський, буд. 4, Суми, 48071",096 377 25 15,demyd80@example.com
Конопля,Гліб,Сергійович,Чоловіча,21.09.2000,Ботанік,хутір Довжанськ,"вулиця Ямська, буд. 41, Корець, 88793",094 259 48 12,arkhymovychiustyna@example.net
Батюк,Володимира,Вікторівна,Жіноча,12.07.2004,Маркетолог,селище Кривий Ріг,"сквер Сегедська, буд. 649 кв. 9, Помічна, 58075",+380 82 386-20-24,bdzyndra@example.org
Гаврилишин,Остап,Володимирович,Чоловіча,24.10.1972,Підприємець,місто Монастириська,"проспект Жолкова Бориса, буд. 72, Хорол , 80993",+380 (18) 533-49-76,ostap13@example.net
Ісаєнко,Андрій,Олександрович,Чоловіча,05.10.2007,Доцент,хутір Новомиргород,"провулок 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 65, Вознесенівка, 46455",+380 24 272 36 18,turkalokostiantyn@example.com
Перепелиця,Ярослав,Іванович,Чоловіча,19.05.1996,Провізор,село Виноградів,"набережна Танфільєва, буд. 6, Тячів, 80018",619 14 36,amvrosii30@example.com
Демʼянюк,Амвросій,Володимирович,Чоловіча,16.08.1998,Дерун,місто Виноградів,"набережна Картамишевський, буд. 309 кв. 03, Мала Виска, 17376",175 28 69,wfastenko@example.net
Євтушенко,Лукʼян,Володимирович,Чоловіча,10.11.2003,Кіноактор,місто Бершадь,"набережна Килимовий, буд. 252, Косів, 39218",+380 95 649-83-75,izhakazar@example.org
Шморгун,Гаврило,Володимирович,Чоловіча,12.05.1987,Геофізик,хутір Довжанськ,"узвіз Дунаєвського 3-й, буд. 80 кв. 04, Сорокине, 17457",+380 (55) 022-30-77,amvrosiidanchenko@example.net
Гайворонський,Марія,Василівна,Жіноча,06.07.1989,Дантист,селище Верхівцеве,"проспект Думська, буд. 33 кв. 288, Борислав, 63412",+380 18 751-38-37,iosypzubko@example.net
Данилюк,Данило,Олександрович,Чоловіча,02.02.1969,Провізор,хутір Київ,"сквер Літературна, буд. 77 кв. 23, Конотоп, 58090",+380 09 192 16 07,korolenkoielysaveta@example.com
Шовкопляс,Марія,Василівна,Жіноча,26.11.1960,Літературознавець,село Благовіщенське,"набережна Богдана Хмельницького, буд. 463 кв. 00, Шаргород, 44699",+380 87 000-38-01,amaliiaartemenko@example.net
Непорожній,Мілена,Володимирівна,Жіноча,23.05.1978,Гірник,хутір Моспине,"узвіз Таїрова, буд. 85 кв. 0, Судова Вишня, 89810",928 34 66,tsiupaoleh@example.org
Опанасенко,Єва,Вікторівна,Жіноча,15.07.1993,Швачка,селище Чоп,"сквер Чапаєва, буд. 59, Герца, 70771",+380 65 247 04 73,mazepaarsen@example.net
Колодуб,Герман,Сергійович,Чоловіча,16.03.1986,Гірник,хутір Ічня,"шосе Писарева, буд. 973, Заводське, 32611",057 556 42 57,nazaravdieienko@example.com
Заєць,Зорян,Михайлович,Чоловіча,29.06.1990,Будник,хутір Монастириська,"узвіз Ключовий 2-й, буд. 1, Щастя , 97049",141 01 00,makohonbohdanna@example.com
Ґжицький,Пармен,Васильович,Чоловіча,10.03.1997,Конструктор,місто Вільногірськ,"вулиця Тополиний, буд. 0 кв. 79, Звенигородка, 35600",005 43 37,hennadii43@example.net
Гупало,Леонід,Михайлович,Чоловіча,31.03.1945,Кур'єр,селище Болехів,"набережна Просьолочна, буд. 9, Хорол , 08851",+380 (48) 591-82-03,teslenkomakar@example.org
Ватаманюк,Тетяна,Вікторівна,Жіноча,03.05.1962,Електромонтажник,селище Горохів,"вулиця Лазурний 4-й, буд. 0 кв. 73, Мостиська, 53979",+380 26 518-00-86,ovasylechko@example.org
Гриценко,Охрім,Сергійович,Чоловіча,29.09.1963,Стоматолог,селище Тростянець,"узвіз Сєченова, буд. 35 кв. 771, Суми, 05908",+380 26 515 02 04,heorhii34@example.net
Джунь,Єва,Олександрівна,Жіноча,26.07.1938,Ветеринар,село Генічеськ,"узвіз Середньофонтанський, буд. 84 кв. 487, Житомир, 45205",+380 37 931-11-45,myroslavavramenko@example.org
Гузій,Богуслава,Вікторівна,Жіноча,03.04.1964,Візажист,хутір Костянтинівка,"шосе Локомотивний 4-й, буд. 2 кв. 2, Балаклія, 97398",+380 41 008-79-96,vadym38@example.net
Балабан,Оксенія,Василівна,Жіноча,08.09.2005,Випробувач,селище Бурштин ,"провулок Волоколамська, буд. 6, Волочиськ, 61467",028 120-62-91,pylypenkomarko@example.org
Тягнибок,Аарон,Олександрович,Чоловіча,13.12.1991,Музикант,селище Мостиська,"набережна Маяковського, буд. 5 кв. 419, Феодосія, 47826",+380 62 107 15 94,feofanpalii@example.net
Сірко,Дарина,Михайлівна,Жіноча,06.03.1984,Льотчик,хутір Коломия,"узвіз Привокзальний, буд. 6 кв. 236, Марганець , 91972",508 27 27,prykhodkonataliia@example.net
Усик,Устим,Олександрович,Чоловіча,20.07.1940,Астроном,селище Оріхів,"провулок Селищна, буд. 7 кв. 09, Южне, 99661",+380 37 431-07-60,lukashvarfolomii@example.net
Левченко,Вікторія,Іванівна,Жіноча,17.04.2003,Науковець,хутір Лохвиця,"сквер Кавказький, буд. 7 кв. 291, Берестечко, 40831",+380 (52) 962-34-79,teodordankiv@example.com
Бабійчук,Августин,Володимирович,Чоловіча,26.01.1955,Науковець,селище Корюківка,"узвіз Лінія 54-та, буд. 02 кв. 30, Пирятин, 75929",+380 86 192 15 56,vadymkozak@example.org
Бараник,Розалія,Василівна,Жіноча,09.01.1963,Педагог,селище Теплодар,"набережна Добровольського, буд. 02, Радивилів, 50258",092 982 02 00,civanenko@example.org
Ващенко,Тимофій,Сергійович,Чоловіча,01.08.1976,Астронавт,селище Вилкове,"сквер Трудовий, буд. 4, Берегове, 72741",+380 96 246-48-31,ievakorpaniuk@example.net
Копитко,Борислав,Миколайович,Чоловіча,29.08.2001,Кінорежисер,хутір Дрогобич,"провулок Вапняний 1-й, буд. 405, Святогірськ, 65614",+380 70 922 12 73,varfolomii73@example.org
Удовенко,Єлисей,Миколайович,Чоловіча,03.05.1957,Доцент,місто Корсунь-Шевченківський,"шосе Садовий, буд. 017 кв. 782, Носівка, 93728",277-87-05,ikorpaniuk@example.com
Балабан,Лілія,Василівна,Жіноча,18.01.1994,Єгер,село Семенівка,"сквер Березова, буд. 46, Ківерці, 33247",078 405 63 43,babiiopanas@example.com
Запорожець,Василина,Миколаївна,Жіноча,29.09.1990,Продюсер,село Іллінці,"шосе Манежний, буд. 037, Болехів, 47657",+380 91 790-40-58,raksviatoslav@example.org
Єресько,Розалія,Володимирівна,Жіноча,10.11.1941,Слідчий,хутір Монастириська,"сквер Ключовий 2-й, буд. 13 кв. 7, Южноукраїнськ, 29997",+380 00 390 45 82,nfranchuk@example.net
Зінкевич,Орест,Сергійович,Чоловіча,22.07.2006,Льотчик,місто Хирів,"проспект Друга, буд. 1, Чистякове, 69211",974-35-05,viktor61@example.com
Сагаль,Леон,Іванович,Чоловіча,26.11.1962,Лікар,місто Дебальцеве,"сквер Агрономічна, буд. 7, Чернівці, 55229",+380 17 069-55-05,eduard87@example.com
Медведенко,Семен,Олександрович,Чоловіча,05.11.1994,Художник,селище Гадяч,"сквер Керченський 2-й, буд. 1 кв. 319, Подільськ, 65024",+380 23 028-39-60,hennadiifilipenko@example.org
Джус,Владислав,Іванович,Чоловіча,19.04.2000,Астроном,місто Мостиська,"площа Луценка Івана, буд. 132, Красноград, 47459",899-94-51,leopoldhavrylets@example.org
Василашко,Василина,Миколаївна,Жіноча,20.04.1978,Стропальник,хутір Старий Самбір,"парк Виноградна 1-ша, буд. 629, Марганець , 34941",+380 78 880-90-52,ihnataleksiuk@example.com
Царенко,Альбіна,Миколаївна,Жіноча,20.08.1976,Композитор,хутір Біла Церква,"узвіз Професора Каришковського, буд. 57 кв. 911, Маріуполь, 65342",+380 (34) 701-27-79,venedyktmasliak@example.org
Павличенко,Данна,Михайлівна,Жіноча,02.04.1985,Доцент,село Одеса,"вулиця Василя Кандинського 4-й, буд. 937, Армянськ, 30051",+380 73 679-91-19,olestkach@example.com
Архипенко,Анжела,Володимирівна,Жіноча,14.12.1970,Дерун,хутір Покров,"шосе 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 785, Святогірськ, 10106",172 97 31,trokhymgereta@example.com
Ніколюк,Левко,Іванович,Чоловіча,09.04.1992,Реставратор,село Тячів,"шосе Чернігівська, буд. 69, Зіньків, 11800",+380 32 879-75-04,ykybkalo@example.org
Шаповал,Лесь,Сергійович,Чоловіча,09.09.1955,Будник,хутір Докучаєвськ,"площа Головківська, буд. 4 кв. 5, Тячів, 12339",126 35 58,myroslavsmyk@example.org
Єфименко,Амалія,Іванівна,Жіноча,18.06.1939,Агроном,селище Дубровиця,"провулок Пересипська 5-та, буд. 3 кв. 203, Кропивницький, 16236",022 590 18 72,andriievychprokhir@example.org
Червоненко,Еріка,Олександрівна,Жіноча,25.05.1964,Лікар,місто Гайсин,"сквер Лінія 51-ша, буд. 78 кв. 01, Ковель, 75841",+380 (09) 940-84-67,trokhymzaiets@example.com
Акуленко,Остап,Володимирович,Чоловіча,31.07.1969,Драматург,хутір Дергачі,"узвіз Горіхова, буд. 375, Біляївка, 38132",+380 08 205 85 05,dandroshchuk@example.com
Саєнко,Ліза,Володимирівна,Жіноча,25.07.1961,Фольклорист,селище Саки ,"площа Амурський 4-й, буд. 010, Монастириська, 75930",+380 06 923 15 98,kzhurba@example.net
Ярема,Єлисавета,Вікторівна,Жіноча,03.03.1997,Ботанік,селище Мелітополь,"сквер Технічний, буд. 3, Снятин, 07228",625 67 41,datsiuktymofii@example.org
Абрамчук,Антон,Вікторович,Чоловіча,22.01.1966,Музикант,селище Бахмут,"вулиця Композитора Ніщинського, буд. 987, Золочів, 26178",+380 52 559-10-23,okhrimieresko@example.org
Нестеренко,Розалія,Миколаївна,Жіноча,29.02.1980,Флорист,селище Мерефа,"провулок Чорноморський 3-й, буд. 162, Кам'янець-Подільський, 86756",+380 75 211-79-00,hzakusylo@example.org
Доценко,Симон,Васильович,Чоловіча,18.10.1996,Піаніст,селище Батурин,"узвіз Флотський 3-й, буд. 710 кв. 428, Тростянець, 98958",+380 (04) 360-24-46,kylymnyknataliia@example.net
Наливайко,Борис,Володимирович,Чоловіча,21.12.1991,Журналіст,хутір Валки ,"сквер Товарний, буд. 1 кв. 53, Дубровиця, 36040",061 009 77 79,rostyslav12@example.com
Радченко,Азар,Сергійович,Чоловіча,05.04.1949,Епідеміолог,село Миргород,"набережна Рєпіна, буд. 743, Чернігів, 81149",490-58-61,liubov03@example.com
Шведченко,Богуслава,Володимирівна,Жіноча,08.12.2003,Державний службовець,село Люботин,"проспект Вернидуба, буд. 2, Долина , 69766",090 620-82-96,nakulenko@example.net
Затовканюк,Лукʼян,Володимирович,Чоловіча,12.01.1948,Гірничий інженер,селище Дрогобич,"шосе Басейний 1-й, буд. 95, Буськ, 54223",+380 67 561 18 76,zabashtasofiia@example.com
Голобородько,Августин,Васильович,Чоловіча,10.09.1947,Детектив,село Деражня,"парк Чорноморський 11-й, буд. 66, Кам'янка-Дніпровська, 72329",064 617 79 73,azakusylo@example.net
Ґерета,Лукʼян,Миколайович,Чоловіча,16.01.2000,Зоолог,місто Сторожинець,"набережна Побратимів, буд. 65, Деражня, 19316",+380 83 169 69 38,vira93@example.net
Малик,Геннадій,Вікторович,Чоловіча,30.08.2004,Археолог,хутір Бучач,"провулок Проектований 3-й, буд. 9 кв. 867, Калуш, 19589",341 22 74,fvenhrynovych@example.com
Засядько,Світлана,Миколаївна,Жіноча,22.05.1948,Модель,місто Олевськ,"площа Олександра Невського 4-й, буд. 080, Марганець , 86887",+380 57 692-33-12,labasvitlana@example.com
Дашкевич,Ростислав,Михайлович,Чоловіча,03.03.2003,Різноробочий,селище Первомайськ,"сквер 40-річчя оборони Одеси, буд. 310 кв. 451, Бібрка, 01872",+380 98 334-99-03,okseniia70@example.net
Баранник,Ярина,Володимирівна,Жіноча,15.01.1971,Геолог,місто Золоте,"проспект Хімічна, буд. 446, Новгород-Сіверський, 41564",+380 56 212-96-67,fvyshyvanyi@example.org
Дробаха,Валентин,Володимирович,Чоловіча,31.05.1980,Психолог,селище Старобільськ,"парк Перший Кришталевий, буд. 199 кв. 761, Олександрівськ, 02053",+380 (50) 243-28-42,iakivadamenko@example.com
Журба,Марія,Іванівна,Жіноча,23.02.1985,Промисловець,місто Павлоград,"парк Карантинний узвіз, буд. 5 кв. 9, Хуст, 54623",417 51 32,lukianovcharenko@example.com
Андрієвич,Олена,Василівна,Жіноча,06.12.2006,Громадський діяч,селище Батурин,"провулок Тупиковий 1-й, буд. 966 кв. 76, Фастів, 10389",452 63 41,frantschubai@example.org
Рубан,Зорян,Володимирович,Чоловіча,16.07.1994,Ді-джей,місто Богуслав,"вулиця Гена Іоганна, буд. 3 кв. 009, Брянка, 66932",016 816 63 76,volodymyr44@example.net
Тичина,Алла,Іванівна,Жіноча,29.11.2004,Скульптор,село Заводське,"провулок Виноградна, буд. 95, Кальміуське, 44511",+380 90 063-53-10,daryna05@example.org
Алексійчук,Ірина,Вікторівна,Жіноча,02.04.2006,Мірошник,село Буринь,"площа Польська, буд. 5 кв. 921, Алупка, 75809",+380 28 082 05 37,eduard38@example.org
Заїка,Богодар,Іванович,Чоловіча,22.08.1939,Історик,хутір Докучаєвськ,"парк Просвіти, буд. 0 кв. 1, Щастя , 71118",172-12-96,chumachenkoiaryna@example.com
Шахрай,Юхим,Сергійович,Чоловіча,25.12.1948,Будник,місто Вижниця,"шосе Дельфін, буд. 712 кв. 3, Київ, 49575",017 889-33-93,sviatoslavhuzii@example.org
Девдюк,Емілія,Вікторівна,Жіноча,12.09.1997,Електрик,місто Угнів,"площа Лінія 38-ма, буд. 131, Рава-Руська, 04482",+380 (03) 018-81-58,havryloaleksiuk@example.net
Швачка,Леонід,Олександрович,Чоловіча,13.05.2008,Краєзнавець,місто Фастів,"проспект Академіка Заболотного, буд. 350, Винники, 66457",672-13-28,gkovalenko@example.com
Ґерус,Христина,Вікторівна,Жіноча,11.08.2006,Мінералог,хутір Тиврів,"вулиця Ломоносова, буд. 97 кв. 47, Березне, 83174",083 648-95-07,tdanyliuk@example.org
Данчук,Гордій,Олександрович,Чоловіча,12.08.1970,Електрослюсар,село Нововолинськ,"шосе Ф. Пішеніна, буд. 86, Южне, 44245",+380 70 041-04-01,suprunenkolevko@example.com
Нестеренко,Леонід,Іванович,Чоловіча,03.05.1978,М'ясник,хутір Тараща,"проспект Іцхака Рабіна, буд. 93, Чигирин, 23998",644 85 68,svyrydenkovitalii@example.net
Шовкопляс,Пилип,Вікторович,Чоловіча,05.08.2001,Електрик,хутір Корсунь-Шевченківський,"вулиця Орловська, буд. 2, Бахмут, 71534",236 82 60,haidenkorostyslav@example.net
Копитко,Лукʼян,Сергійович,Чоловіча,01.01.1945,Педагог,хутір Глиняни,"набережна Квітнева, буд. 4 кв. 5, Сокаль, 30272",+380 99 258 74 91,avreliihuzenko@example.net
Бабко,Мирослав,Михайлович,Чоловіча,03.04.1990,Професор,місто Шахтарськ,"шосе Листяний, буд. 770 кв. 01, Гребінка, 57113",076 781 56 45,gpoltavets@example.org
Пелех,Богуслав,Миколайович,Чоловіча,10.09.1938,Бібліотекар,селище Часів Яр,"шосе Воронезька, буд. 2 кв. 002, Славута, 63980",+380 15 268-60-57,dashkevycholeksa@example.net
Чорновіл,Степан,Васильович,Чоловіча,01.12.1959,Бухгалтер,село Яготин,"вулиця Локомотивний 1-й, буд. 530, Стрий, 84533",177-31-98,vladyslavshamrai@example.net
Атаманчук,Борис,Сергійович,Чоловіча,09.10.1990,Євнух,село Радивилів,"парк Баштанна, буд. 09, Ямпіль, 45079",+380 73 610-35-22,hermanoberemko@example.com
Бараник,Роксолана,Вікторівна,Жіноча,30.12.1961,Програміст,місто Святогірськ,"вулиця Мацієвської узвіз, буд. 2, Бахмач, 12900",537 07 87,shcherbaksviatoslava@example.com
Валенко,Марина,Олександрівна,Жіноча,28.04.1975,Філолог,хутір Здолбунів,"шосе Хутірська, буд. 195 кв. 797, Рогатин, 97222",+380 42 947-41-27,mykolai17@example.com
Вдовиченко,Дарина,Володимирівна,Жіноча,12.02.1993,Письменник,селище Золочів,"провулок Ямська, буд. 750 кв. 2, Привілля, 17803",071 136 55 50,azar10@example.org
Величко,Єва,Володимирівна,Жіноча,13.10.1963,Журналіст,селище Алушта,"провулок Мала, буд. 057 кв. 035, Родинське, 52611",+380 04 842 61 57,xprotsenko@example.com
Вишняк,Арсен,Васильович,Чоловіча,12.11.1980,Шериф,місто Хорол ,"шосе Лінія 31-ша, буд. 018, Івано-Франківськ, 99763",+380 12 270-46-28,rozaliia31@example.org
Атаманчук,Богданна,Сергіївна,Жіноча,29.11.1944,Хореограф,місто Могилів-Подільський,"сквер Траса Здоров'я, буд. 08 кв. 29, Соледар, 47030",520-87-65,tsiupavasylyna@example.com
Скирда,Марʼяна,Олександрівна,Жіноча,05.02.1998,Паралегал,селище Інкерман,"проспект Вокзальний, буд. 55, Мукачево, 28922",+380 (08) 414-60-23,azarkarmaliuk@example.com
Безбородьки,Данило,Васильович,Чоловіча,15.02.2001,Мікробіолог,хутір Умань,"проспект Північний, буд. 914 кв. 7, Тернівка , 53448",830-74-29,havriushenkomaksym@example.com
Атрощенко,Любов,Володимирівна,Жіноча,31.10.1982,Фотограф,село Берестечко,"сквер Василя Кандинського, буд. 794 кв. 618, Феодосія, 82047",054 836 23 47,zatulakostiantyn@example.com
Нестайко,Вʼячеслав,Миколайович,Чоловіча,10.12.2000,Детектив,місто Гуляйполе,"провулок Іванова 1-й, буд. 7, Тетіїв, 29829",066 666-16-64,nsuprunenko@example.com
Харченко,Маруся,Сергіївна,Жіноча,10.05.1949,Письменник,місто Енергодар,"узвіз 9-та Суворовська, буд. 83 кв. 1, Сквира, 21469",+380 39 731-89-77,mriabchenko@example.com
Юрчишин,Теодор,Миколайович,Чоловіча,14.03.1960,Епідеміолог,місто Білгород-Дністровський,"провулок Лазурний 3-й, буд. 0, Сарни, 07668",+380 13 111 67 70,bohdanna85@example.org
Жученко,Богдан,Михайлович,Чоловіча,25.10.1973,Круп'є,хутір Погребище,"набережна Рибальська, буд. 527, Кролевець, 58858",273 86 73,hordii28@example.org
Яремко,Пантелеймон,Сергійович,Чоловіча,11.01.1942,Антрополог,місто Івано-Франківськ,"узвіз Успенська, буд. 7 кв. 04, Белз, 56731",656-03-97,dashenkomaryna@example.net
Єресько,Камілла,Миколаївна,Жіноча,03.03.1942,Електромонтажник,хутір Середина-Буда,"сквер Лінія 39-та, буд. 24, Миколаївка , 73105",+380 53 765-44-46,qrubets@example.org
Дробаха,Златослава,Василівна,Жіноча,08.09.1943,Ріелтор,селище Васильків,"набережна Водний, буд. 0 кв. 0, Рава-Руська, 66366",+380 (60) 412-58-53,usykamaliia@example.net
Безбородько,Аарон,Сергійович,Чоловіча,15.07.1988,Водій,селище Благовіщенське,"шосе 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 490 кв. 7, Сніжне, 05237",088 818-39-89,ubazavluchenko@example.com
Лазаренко,Людмила,Михайлівна,Жіноча,09.01.2007,Електрик,селище Харцизьк,"парк Льва Симиренка, буд. 04 кв. 3, Кропивницький, 86075",+380 63 430 47 20,varfolomiikolesnychenko@example.com
Чуйко,Аліна,Миколаївна,Жіноча,24.03.1984,Сценарист,хутір Бурштин ,"сквер Волна тупик, буд. 2 кв. 3, Остер , 80768",+380 43 707-02-59,erika68@example.com
Коваленко,Давид,Васильович,Чоловіча,14.08.1984,Педагог,хутір Шумськ,"сквер Чорноморський, буд. 48 кв. 7, Корсунь-Шевченківський, 46908",020 998 20 25,svitlana23@example.org
Єсипенко,Станіслав,Васильович,Чоловіча,23.12.1996,Євнух,хутір Кам'янка-Бузька,"шосе Хутірська, буд. 06 кв. 755, Заліщики, 54087",+380 54 172 69 31,sirobabasviatoslav@example.org
Копитко,Ярина,Михайлівна,Жіноча,14.06.1967,Електрик,місто Федорівка,"площа Прирейкова, буд. 7, Збараж, 27571",+380 96 085-66-15,iriaboshapka@example.org
Лупій,Людмила,Василівна,Жіноча,03.01.1939,Піаніст,селище Інкерман,"шосе Академіка Богатського, буд. 646, Часів Яр, 50047",842 08 67,hennadiisimashkevych@example.com
Калениченко,Олекса,Михайлович,Чоловіча,18.01.1965,М'ясник,хутір Тячів,"парк Салтикова-Щедріна, буд. 384 кв. 84, Корсунь-Шевченківський, 83229",072 705-39-07,fesenkovarfolomii@example.org
Нестайко,Антон,Володимирович,Чоловіча,20.08.1989,Шериф,село Тетіїв,"набережна Івана Франка, буд. 8, Петрово-Красносілля, 02539",144-41-78,shutkoalla@example.net
